№	приоритет	основание приоритета	функция	какая боль	как работает сейчас	как будет работать с ИИ	Комментарий
1	P0	Ядро демо, end-to-end в чате + UI	AI-консультант в чате	«Не знаю, куда нажать в СберБизнес»	Полностью. POST /api/chat (auth) или /api/chat/guest. Pipeline: assistant.py — приветствие → навигация → UI-действия → банковские запросы → 1С → налоги/сервисы → LLM (OpenRouter) → rule-based fallback. Frontend: AssistantPanel.tsx отправляет page_route, form_type, org_id. Примеры: «Сколько на счёте?», «Создай мгновенный платёж», «Перейди в расчёты».	Персональный контекст по роли/истории, проактивные подсказки, многошаговые сценарии без ручных фраз.	Без OPENAI_API_KEY работает rule-based; история сессии не сохраняется (/api/chat/history — TODO).
2	P0	Ключевая дифференциация демо	Заполнение платёжных форм SBBOL	«Долго вбивать реквизиты вручную»	Полностью (демо). На /payments/paydocbyn, /instant, /paydoccur: чат парсит фразы (rules + LLM tool fill_payment_form), возвращает form_actions; useSbbolFormFill.ts программно заполняет DOM захваченной формы. Примеры: «Помоги заполнить форму», «Сумма 1500, назначение — аренда», «Получатель ООО Ромашка» → автоподстановка УНП/счёта из PostgreSQL.	Голосом/фото «как в счёте», уточняющие вопросы по одному полю, автоисправление ошибок OCR.	Проверки УНП/IBAN/лимита: payment_validators.py. Не все поля формы покрыты схемой.
3	P0	Запрос пользователя в референсе	Умный поиск по операциям	«Где платёж Иванова за март?»	Полностью (по seed-данным). smart_search в search.py: по контрагенту, сумме, месяцу в BankDocument + Counterparty. Триггеры: «найди», «покажи», «поиск». REST: GET /api/banking/search?q=. Пример: «Найди платежи Иванова за март» → список + sources.	Семантический поиск (embedding), фильтры голосом, связь с выпиской и 1С.	Поиск по подстрокам/SQL, не полнотекстовый индекс; данные только демо-org.
4	P1	Реализовано, но поверхностно	Ролевые ассистенты (бизнесмен / бухгалтер / ИП)	«Разным ролям нужны разные сценарии»	Частично. 3 org в seed_users.py: demo (businessman), ip_ivanov (ip), buh_plus (accountant). Welcome-кнопки зависят от user_role. Разные seed-данные: документы, уведомления, лимиты. Нет отдельных промптов/моделей по роли.	Отдельные system prompts, приоритеты сценариев, проактивные чек-листы (налоги для ИП, ФСЗН для бухгалтера).	Логин: demo/demo, ipivanov/ip123, buhplus/buh123.
5	P1	End-to-end с PostgreSQL	Остатки и банковская сводка	«Сколько денег на счетах?»	Полностью (демо-БД). get_balance_summary + GET /api/banking/summary, /accounts. Триггер: «сколько на счёте», «остаток», «баланс». Ответ с кнопками «Детализация», «Выписка».	LLM объясняет структуру остатков, прогноз, рекомендации по валютам.	Реальный банк не подключён.
6	P1	Есть API + чат + UI	Выписка по счёту	«Нужна выписка за период»	Частично. GET /api/banking/statement?account_id=&period= — фильтр today/week/month. UI: StatementView.tsx. В чате: уточняющие вопросы если нет счёта/периода; кнопки «За месяц».	«Выписка по BYN за вчера» → PDF/экран + анализ аномалий.	Seed: seed_statement_recent.py, seed_statement_accounts.py.
7	P1	Ключевой сценарий платежей	Помощь с платежами / повтор платежа	«Как оформить / повторить платёж»	Частично. Навигация: «Создай платёжное поручение» → /payments/paydocbyn. «Повтори последний платёж» → последний BankDocument + кнопка «Повторить». Модалка «Создать документ» через AssistantUiBridge. Многие кнопки SBBOL — showStubToast (заглушка).	«Создай как в прошлый раз, но на 10% больше» с проверкой лимитов.	Платежи в БД создаются через UI/API, не через реальный SBBOL.
8	P1	Реализован pipeline	Быстрые команды / навигация по разделам	«Долго искать раздел в меню»	Полностью (внутренние маршруты). demo_routes.py — 30+ маршрутов; page_actions.py — «нажми», «открой», «создай». ui_actions → executeUiActions / router.push. Примеры: «Открой зарплатный проект», «Перейди в расчёты», «Создать документ».	Intent из свободной речи + подтверждение перед навигацией.	Навигация в UI — только breadcrumbs navigation_path.
9	P1	Seed + чат + баннер	Умные уведомления / напоминания	«Что ждёт подписи / что просрочено»	Полностью (демо). SmartNotification в PostgreSQL; GET /api/banking/notifications; баннер NotificationBanner.tsx. В чате: «Расскажи про напоминание», «что на подписи». Кнопка «Спросить у консультанта» на баннере.	Приоритизация, дедлайны, авто-действия («подписать», «создать платёж»).	POST .../notifications/{id}/read — прочитано; push/email нет.
10	P1	Много кода TTS	Голосовой ввод (STT)	«Руки заняты — надиктовать платёж»	Частично. useWebSpeechInput.ts — Web Speech API (Chrome). Кнопка микрофона в ChatInput.tsx; onVoiceComplete → автоотправка в чат. Нет серверного STT.	Серверный STT с шумоподавлением, доменный словарь (УНП, БИК).	Только браузеры с SpeechRecognition.
