№	P	Функция	Боль	Триггер (пример)	Шаг 1	Шаг 2	Шаг 3	Шаг 4	Шаг 5	Канал	Результат в UI	Chips / кнопки	Источник данных	Движок	Статус	Gap
1	1	Поиск документа	Не найти счёт/договор	«Найди счёт от ООО Ромашка за март 2026»	Парсинг контрагента+даты	Поиск в BankDocument	Список или 1 результат	Открыть карточку	Подсветка полей	Чат	/other/documents/view	Открыть; Источник №N	PostgreSQL search.py	Rules	Готово	Нет семантики; пусто → подсказка снять фильтр
2	1	Поиск платежа	Не найти платёж	«Найди платёж на 50 000 от Иванова»	Парсинг суммы+ФИО	Фильтр по месяцу	2+ → список на выбор	Клик источника → карточка	Связанные платежи	Чат	Карточка документа	Открыть; Связанные	PostgreSQL	Rules	Готово	Несколько Ивановых — выбор вручную
3	1	Поиск контрагента	Не найти клиента	«Покажи карточку клиента Петров»	Поиск по имени/УНП	Уточнение если 2+	Открыть справочник	—	—	Чат	/services/counterparty	Контрагенты	PostgreSQL Counterparty	Rules	Частично	Нет полноценной карточки Петрова
4	1	Поиск отчёта	Не найти выписку/отчёт	«Найди отчеты за март 2026»	Intent report	Поиск INFO:* + период	Список отчётов	Открыть отчёт	Ссылка на выписку	Чат	/other/documents/view	Выписка за период	PostgreSQL INFO docs	Rules	Готово	На prod нужен деплой
5	1	Единый ассистент (роли)	Много разделов	Любой NL-запрос	Классификация intent	Один уточняющий вопрос	Вызов модуля	Ответ+chips	Цепочка шагов	Чат	Ответ + навигация	По контексту	assistant.py pipeline	Rules+LLM fallback	Частично	Нет отдельных промптов по роли
6	1	Помощь с платежом	Ошибка в реквизитах	На форме: «Сумма 1500, получатель Ромашка»	Парсинг полей	Подстановка из БД	Валидация УНП/IBAN/лимит	Заполнение DOM	Подтверждение отправки	Чат+форма	Поля подсвечены	Chips полей	Counterparty+validators	Rules+LLM	Готово	Не все типы платежей
7	1	Подсказки при платеже	Страх ошибки	Заполнение формы	Inline зел/желт/красн	Блок «Проверки» в чате	Блок submit при критике	—	—	Форма+чат	Рамки полей	Исправь поле X	validators.py	Rules	Готово	Нет реестра МНС live
8	1	Быстрые команды	Долгий путь	«Покажи выписку за апрель»	Распознать intent	Уточнить счёт/период если нет	Навигация или данные	Кнопки след. шага	—	Чат+голос	Раздел банка	За месяц; Детализация	demo_routes+queries	Rules	Готово	~30 команд, не бесконечный NL
9	1	Умные уведомления	Пропуск дедлайнов	Баннер при входе / «что на подписи»	Показ SmartNotification	Привязка к документу по №	Кнопка действия	Спросить в чате	—	Баннер+чат	Переход к документу	Подписать; Открыть	PostgreSQL notifications	Rules	Готово	Нет push/SMS
10	1	Голос ввод+вывод	Руки заняты	🎤 «Создай платёж на 500»	Web Speech → текст	Отправка в чат	Ответ ассистента	TTS озвучка	Lip-sync 3D	Голос+чат	Исполнение команды	—	Browser STT+TTS API	Rules+TTS	Частично	Нет серверного STT
